Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1155057093721722881,"Shri @KalrajMishra, the Governor of Himachal Pradesh called on PM @narendramodi. https://t.co/AnNAFUmo12",PMO India,PMOIndia,Sat Jul 27 10:07:25 +0000 2019,10609,916,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,0,2
1155122705089228800,Remembering the heroes of Kargil. Watch. https://t.co/EVXydyBZYI,PMO India,PMOIndia,Sat Jul 27 14:28:08 +0000 2019,0,6246,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,0
1155143473688748032,"PM @narendramodi attended a programme to mark Kargil Vijay Diwas.  

He highlighted the valour of our forces and their unwavering commitment to protect our nation. He recalled the heroic efforts of our forces in Kargil. 
PM emphasised on the need for unity and harmony in society. https://t.co/UPS8Me37br",PMO India,PMOIndia,Sat Jul 27 15:50:40 +0000 2019,12128,1458,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,0,1
1155335577669005312,Shri Jaipal Reddy had years of experience in public life. He was respected as an articulate speaker and effective administrator. Saddened by his demise. My thoughts are with his family and well-wishers in this hour of grief: PM @narendramodi,PMO India,PMOIndia,Sun Jul 28 04:34:01 +0000 2019,9439,1077,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,1
1155343706200801280,#MannKiBaat begins shortly. Do join. https://t.co/gr0QXjV3XU,PMO India,PMOIndia,Sun Jul 28 05:06:19 +0000 2019,2041,345,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,Photo,0,1,0
1155350014152986626,#MannKiBaat has begun. Tune in... https://t.co/PeVRFhl6I5,PMO India,PMOIndia,Sun Jul 28 05:31:23 +0000 2019,2775,409,English,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,0
1155350462532427777,"I am happy that my request to share the books you all read, on the 'Narendra Modi Mobile App' has generated a great response. 

People have been sharing details of what they are reading. #MannKiBaat https://t.co/wKbK0WDQDI",PMO India,PMOIndia,Sun Jul 28 05:33:10 +0000 2019,2356,443,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155350625095319554,Let us keep reading and keep sharing. #MannKiBaat https://t.co/F40hPP8Z4z,PMO India,PMOIndia,Sun Jul 28 05:33:49 +0000 2019,2765,536,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155350874203381761,Appreciable effort by the people of Jharkhand towards water conservation. #MannKiBaat https://t.co/jVxfXcCQCK,PMO India,PMOIndia,Sun Jul 28 05:34:48 +0000 2019,1526,343,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155351095016689664,"By working on a water policy, the wonderful state of Meghalaya has taken a futuristic step. #MannKiBaat https://t.co/Y8Aj5sejkm",PMO India,PMOIndia,Sun Jul 28 05:35:41 +0000 2019,1537,313,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
1155351281583702022,Haryana is doing something great when it comes to saving water and working with farmers. #MannKiBaat https://t.co/8DEL9QyYqE,PMO India,PMOIndia,Sun Jul 28 05:36:25 +0000 2019,1922,355,English,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,Photo,0,1,0
